customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100000,Male,1,Yes,No,45,Yes,Yes,DSL,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,68.61,3086.24,1
C100001,Female,1,No,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.92,4840.62,1
C100002,Female,1,Yes,No,46,Yes,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,3188.75,0
C100003,Male,1,Yes,No,43,Yes,No,Fiber optic,No,No,No,Yes,No,One year,No,Electronic check,83.88,3619.57,1
C100004,Male,0,No,Yes,34,Yes,Yes,Fiber optic,No,No,No,No,No,Two year,Yes,Electronic check,76.1,2587.39,0
C100005,Female,1,Yes,No,17,Yes,Yes,DSL,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,62.4,1067.53,0
C100006,Male,1,No,No,20,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Electronic check,50.26,1018.52,1
C100007,Female,1,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,104.37,5628.35,0
C100008,Male,1,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,Two year,No,Electronic check,82.97,429.96,0
C100009,Male,1,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Bank transfer,85.29,519.34,1
C100010,Female,0,No,Yes,28,No,No phone service,DSL,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,56.76,1564.55,0
C100011,Female,1,No,Yes,56,Yes,No,Fiber optic,Yes,No,No,No,No,Two year,Yes,Electronic check,81.56,4595.96,0
C100012,Female,0,No,Yes,47,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer,93.13,4367.19,0
C100013,Female,0,No,No,43,No,No phone service,DSL,No,No,No,No,Yes,Month-to-month,No,Mailed check,60.25,2557.84,1
C100014,Female,1,Yes,No,38,No,No phone service,DSL,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.94,2370.63,1
C100015,Female,1,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,23.28,165.83,0
C100016,Female,0,No,Yes,24,Yes,No,DSL,No,No,No,No,Yes,Two year,Yes,Electronic check,58.74,1410.74,0
C100017,Male,0,No,Yes,5,Yes,Yes,DSL,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,58.08,284.93,1
C100018,Female,0,Yes,No,55,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,61.76,3389.89,1
C100019,Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,96.9,5245.0,0
C100020,Female,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.63,1530.14,0
